instruction,input,output
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",console app called calc for simple calculator,"use cli
name ""calc""
desc ""simple calculator""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build me a note CRUD on port 4000 (title/body+),"use web
listen 4000
crud note title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a server on port 9000 that has /health showing ""healthy"" and a todo manager (task and status) please","use web
listen 9000
/health ""healthy""
crud todo task status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web server on port 4000 with /version showing ""v0.1"" and a note CRUD with name and content+","use web
listen 4000
/version ""v0.1""
crud note name content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","rest user username, email, role on 9999","use rest
listen 9999
model user username email role
GET /users list user
POST /users create user"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","guestbook manager with author, text+ on port 9000","use web
listen 9000
crud guestbook author text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly host pages on port 8888: /api that shows ""api v1"", a /health page with ""healthy""","use web
listen 8888
/api ""api v1""
/health ""healthy"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","create a JSON API for comment on port 3000: user, text","use rest
listen 3000
model comment user text
GET /comments list comment
POST /comments create comment
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","launch a web server at 3000 that responds with a /hello page with ""hello!"", ""alive"" at /health, / returning ""hello from el-stupido!"", plus a /version page with ""v0.1""","use web
listen 3000
/hello ""hello!""
/health ""alive""
/ ""hello from el-stupido!""
/version ""v0.1"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, JSON API on 4000 for items (name, desc, price) and tasks (title, status, priority)","use rest
listen 4000
model item name desc price
model task title status priority
GET /items list item
POST /items create item
GET /tasks list task
POST /tasks create task
GET /health ""ok"""
